ds_id,it_id,mypso_pre_time,mypso_post_time,mypso_total_time,mypso_span,ndpso_total_time,ndpso_span,impr_per
1,0,5456,0,5456,"0.4444444444444444 ",3588,"0.3333333333333333 ",-25
1,1,3620,0,3620,"0.4444444444444444 ",869,"0.3333333333333333 ",-25
2,0,6113,0,6113,"0.18996415770609318 ",3669,"0.14336917562724014 ",-24.528301886792452
2,1,3120,0,3120,"0.18996415770609318 ",844,"0.14336917562724014 ",-24.528301886792452
3,0,3173,0,3173,"0.03398058252427184 ",3815,"0.03155339805825243 ",-7.14285714285714
3,1,2469,0,2469,"0.03398058252427184 ",1100,"0.03155339805825243 ",-7.14285714285714
4,0,2861,0,2861,"1.0294117647058822 ",3361,"0.5955882352941176 ",-42.14285714285714
4,1,2521,0,2521,"1.0294117647058822 ",682,"0.5955882352941176 ",-42.14285714285714
5,0,3646,0,3646,"0.5895196506550219 ",3393,"0.2915129151291513 ",-50.55077217438841
5,1,3428,0,3428,"0.5672268907563025 ",756,"0.2915129151291513 ",-48.607352740194074
6,0,2416,0,2416,"0.35180722891566263 ",3468,"0.2385542168674699 ",-32.1917808219178
6,1,3037,0,3037,"0.35180722891566263 ",835,"0.2385542168674699 ",-32.1917808219178
7,0,2542,0,2542,"1.4960629921259843 ",3753,"1.0078740157480315 ",-32.631578947368425
7,1,2331,0,2331,"1.4960629921259843 ",885,"1.0078740157480315 ",-32.631578947368425
8,0,2414,0,2414,"0.47470817120622566 ",1307,"0.2607003891050584 ",-45.08196721311475
8,1,2716,0,2716,"0.44688644688644685 ",780,"0.2454212454212454 ",-45.08196721311475
9,0,2457,0,2457,"0.09283819628647215 ",812,"0.04878048780487805 ",-47.45644599303136
9,1,3260,0,3260,"0.09859154929577466 ",762,"0.04878048780487805 ",-50.5226480836237
10,0,7602,0,7602,"0.5797101449275361 ",1551,"0.3695652173913043 ",-36.24999999999999
10,1,8248,0,8248,"0.6201550387596899 ",1460,"0.3695652173913043 ",-40.40760869565217
11,0,6490,0,6490,"0.039647577092511016 ",1305,"0.03018867924528302 ",-23.85744234800839
11,1,7536,0,7536,"0.033962264150943396 ",1373,"0.03018867924528302 ",-11.111111111111109
12,0,7537,0,7537,"0.08068459657701713 ",1332,"0.04488778054862843 ",-44.366356835184774
12,1,8168,0,8168,"0.08009708737864077 ",1475,"0.04285714285714286 ",-46.49350649350649
13,0,8294,0,8294,"0.984251968503937 ",1381,"0.6691729323308271 ",-32.01203007518797
13,1,6948,0,6948,"0.9259259259259258 ",1338,"0.6592592592592592 ",-28.799999999999997
14,0,7636,0,7636,"1.008888888888889 ",1399,"0.46311475409836067 ",-54.09655521051492
14,1,7628,0,7628,"1.201058201058201 ",1447,"0.49137931034482757 ",-59.08780191402096
15,0,7091,0,7091,"0.4600484261501211 ",1508,"0.3365617433414044 ",-26.842105263157894
15,1,6799,0,6799,"0.4600484261501211 ",1541,"0.3365617433414044 ",-26.842105263157894
16,0,6966,0,6966,"2.7199999999999998 ",1527,"1.648 ",-39.411764705882355
16,1,7416,0,7416,"2.7199999999999998 ",1280,"1.7758620689655173 ",-34.71095334685597
17,0,6144,0,6144,"1.386178861788618 ",1478,"0.7463768115942029 ",-46.15580772663522
17,1,6381,0,6381,"1.2355072463768115 ",1367,"0.7463768115942029 ",-39.589442815249264
18,0,8018,0,8018,"0.36428571428571427 ",1539,"0.25476190476190474 ",-30.065359477124183
18,1,6627,0,6627,"0.3805970149253731 ",1464,"0.25476190476190474 ",-33.06255835667601
19,0,8427,0,8427,"0.4744525547445255 ",1753,"0.36496350364963503 ",-23.076923076923073
19,1,9173,0,9173,"0.4744525547445255 ",1696,"0.36496350364963503 ",-23.076923076923073
20,0,7852,0,7852,"0.08992805755395683 ",1528,"0.06593406593406594 ",-26.68131868131868
20,1,7486,0,7486,"0.08992805755395683 ",1635,"0.06593406593406594 ",-26.68131868131868
21,0,8142,0,8142,"0.15267175572519084 ",1806,"0.13170731707317074 ",-13.73170731707317
21,1,8054,0,8054,"0.1530612244897959 ",1819,"0.13170731707317074 ",-13.951219512195104
22,0,9669,0,9669,"1.6629213483146068 ",1672,"0.6911764705882353 ",-58.436009538950714
22,1,8149,0,8149,"1.48 ",1707,"0.6861313868613139 ",-53.639771158019336
23,0,8339,0,8339,"0.25675675675675674 ",1735,"0.14336917562724014 ",-44.161478966232785
23,1,9421,0,9421,"0.22983870967741934 ",1637,"0.14388489208633093 ",-37.397450460684084
24,0,8406,0,8406,"0.49635036496350365 ",1570,"0.2725060827250608 ",-45.09803921568628
24,1,8485,0,8485,"0.5244215938303343 ",1640,"0.2725060827250608 ",-48.03683030389772
25,0,8623,0,8623,"2.107438016528926 ",1566,"1.0676691729323309 ",-49.338051009877645
25,1,8345,0,8345,"2.2767857142857144 ",1419,"1.0364963503649636 ",-54.47545441534278
26,0,8687,0,8687,"0.8422939068100358 ",1614,"0.48028673835125446 ",-42.97872340425532
26,1,7858,0,7858,"0.8545454545454545 ",1532,"0.48028673835125446 ",-43.796232746129796
27,0,7861,0,7861,"0.16786570743405277 ",1715,"0.12949640287769784 ",-22.85714285714286
27,1,7677,0,7677,"0.17721518987341772 ",1775,"0.12949640287769784 ",-26.92702980472765
28,0,1553,0,1553,"1.0873015873015872 ",636,"0.45112781954887216 ",-58.50941221667307
28,1,1552,0,1552,"1.0300751879699248 ",616,"0.45112781954887216 ",-56.20437956204379
29,0,1743,0,1743,"0.589622641509434 ",654,"0.2641509433962264 ",-55.2
29,1,1394,0,1394,"0.589622641509434 ",634,"0.2641509433962264 ",-55.2
30,0,1936,0,1936,"0.25265957446808507 ",590,"0.18351063829787234 ",-27.368421052631568
30,1,1867,0,1867,"0.25265957446808507 ",635,"0.18351063829787234 ",-27.368421052631568
31,0,1372,0,1372,"2.7889908256880735 ",646,"1.34375 ",-51.81949013157895
